cha_code,gender,role,vtc_label,files
AUN,female,AUN,FEM,['RH29_020604c.cha']
BAB,,Sibling,OCH,"['CJ41_020621a.cha', 'CJ41_020621b.cha']"
BRO,,Brother,OCH,"['CI40_020407b.cha', 'CI40_020407c.cha']"
CHI,male,Target_Child,KCHI,"['AR31_021108a.cha', 'AR31_021108b.cha', 'AR31_021108c.cha', 'BE05_021023a.cha', 'BE05_021023b.cha', 'BE05_021023c.cha', 'BN31_020108a.cha', 'BN31_020108b.cha', 'BN31_020108c.cha', 'BS80_020919a.cha', 'BS80_020919b.cha', 'BS80_020919c.cha', 'BW36_021118a.cha', 'BW36_021118b.cha', 'BW36_021118c.cha', 'CD15_020517a.cha', 'CD15_020517b.cha', 'CD15_020517c.cha', 'CD37_020115a.cha', 'CD37_020115b.cha', 'CD37_020115c.cha', 'CI40_020407a.cha', 'CI40_020407b.cha', 'CI40_020407c.cha', 'CJ41_020621a.cha', 'CJ41_020621b.cha', 'CJ41_020621c.cha', 'CK39_020510a.cha', 'CK39_020510b.cha', 'CK39_020510c.cha', 'CK67_020227a.cha', 'CK67_020227b.cha', 'CK67_020227c.cha', 'CW41_020701a.cha', 'CW41_020701b.cha', 'CW41_020701c.cha', 'DI46_020726a.cha', 'DI46_020726b.cha', 'DI46_020726c.cha', 'FJ11_020816a.cha', 'FJ11_020816b.cha', 'FJ11_020816c.cha', 'FM07_020715a.cha', 'FM07_020715b.cha', 'FM07_020715c.cha', 'GJ44_020028a.cha', 'GJ44_020028b.cha', 'GJ44_020028c.cha', 'HE47_020618a.cha', 'HE47_020618b.cha', 'HE47_020618c.cha', 'HW14_020428a.cha', 'HW14_020428b.cha', 'HW14_020428c.cha', 'IA02_020511a.cha', 'IA02_020511b.cha', 'IA02_020511c.cha', 'JA39_020509a.cha', 'JA39_020509b.cha', 'JA39_020509c.cha', 'KA05_020516a.cha', 'KA05_020516b.cha', 'KA05_020516c.cha', 'KC10_020417a.cha', 'KC10_020417b.cha', 'KC10_020417c.cha', 'KM33_020101a.cha', 'KM33_020101b.cha', 'KM33_020101c.cha', 'LH56_020706a.cha', 'LH56_020706b.cha', 'LH56_020706c.cha', 'LJ30_020702a.cha', 'LJ30_020702b.cha', 'LJ30_020702c.cha', 'MA28_020600a.cha', 'MA28_020600b.cha', 'MA28_020600c.cha', 'ME69_020528a.cha', 'ME69_020528b.cha', 'ME69_020528c.cha', 'MH93_020602a.cha', 'MH93_020602b.cha', 'MH93_020602c.cha', 'ML27_020619a.cha', 'ML27_020619b.cha', 'ML27_020619c.cha', 'ML77_020400a.cha', 'ML77_020400b.cha', 'ML77_020400c.cha', 'MM28_020807a.cha', 'MM28_020807b.cha', 'MM28_020807c.cha', 'NF30_020511a.cha', 'NF30_020511b.cha', 'NF30_020511c.cha', 'PC01_020423a.cha', 'PC01_020423b.cha', 'PC01_020423c.cha', 'PM28_020501a.cha', 'PM28_020501b.cha', 'PM28_020501c.cha', 'PX78_020518a.cha', 'PX78_020518b.cha', 'PX78_020518c.cha', 'RH29_020604a.cha', 'RH29_020604b.cha', 'RH29_020604c.cha', 'RJ22_020612a.cha', 'RJ22_020612b.cha', 'RJ22_020612c.cha', 'RK22_020527a.cha', 'RK22_020527b.cha', 'RK22_020527c.cha', 'SA73_020012a.cha', 'SA73_020012b.cha', 'SA73_020012c.cha', 'SC36_020806a.cha', 'SC36_020806b.cha', 'SC36_020806c.cha', 'SC42_020909a.cha', 'SC42_020909b.cha', 'SC42_020909c.cha', 'SL49_020000a.cha', 'SL49_020000b.cha', 'SL49_020000c.cha', 'SL59_020013a.cha', 'SL59_020013b.cha', 'SL59_020013c.cha', 'SM42_020215a.cha', 'SM42_020215b.cha', 'SM42_020215c.cha', 'TM19_020526a.cha', 'TM19_020526b.cha', 'TM19_020526c.cha', 'TP18_020615a.cha', 'TP18_020615b.cha', 'TP18_020615c.cha', 'VA66_020527a.cha', 'VA66_020527b.cha', 'VA66_020527c.cha', 'WA04_020716a.cha', 'WA04_020716b.cha', 'WA04_020716c.cha', 'WA50_020818a.cha', 'WA50_020818b.cha', 'WA50_020818c.cha', 'WE17_020711a.cha', 'WE17_020711b.cha', 'WE17_020711c.cha', 'WG24_021112a.cha', 'WG24_021112b.cha', 'WG24_021112c.cha', 'WH09_020515a.cha', 'WH09_020515b.cha', 'WH09_020515c.cha', 'WM15_020618a.cha', 'WM15_020618b.cha', 'WM15_020618c.cha']"
ELE,,Uncertain,SIL,"['FM07_020715c.cha', 'KM33_020101b.cha', 'TP18_020615b.cha', 'WH09_020515a.cha', 'WM15_020618c.cha']"
FAT,male,Father,MAL,"['BN31_020108c.cha', 'BW36_021118a.cha', 'BW36_021118c.cha', 'CD37_020115a.cha', 'CD37_020115c.cha', 'CJ41_020621c.cha', 'CK67_020227a.cha', 'DI46_020726a.cha', 'DI46_020726b.cha', 'DI46_020726c.cha', 'FM07_020715a.cha', 'FM07_020715c.cha', 'GJ44_020028b.cha', 'HE47_020618c.cha', 'HW14_020428a.cha', 'IA02_020511a.cha', 'IA02_020511b.cha', 'IA02_020511c.cha', 'KA05_020516a.cha', 'KA05_020516b.cha', 'KA05_020516c.cha', 'KC10_020417c.cha', 'KM33_020101a.cha', 'KM33_020101b.cha', 'KM33_020101c.cha', 'LJ30_020702a.cha', 'LJ30_020702b.cha', 'LJ30_020702c.cha', 'MA28_020600b.cha', 'MA28_020600c.cha', 'ME69_020528b.cha', 'MH93_020602a.cha', 'MH93_020602c.cha', 'ML27_020619a.cha', 'MM28_020807c.cha', 'NF30_020511a.cha', 'NF30_020511b.cha', 'NF30_020511c.cha', 'PC01_020423a.cha', 'PC01_020423b.cha', 'PC01_020423c.cha', 'PX78_020518a.cha', 'PX78_020518b.cha', 'RH29_020604a.cha', 'RH29_020604b.cha', 'RH29_020604c.cha', 'RJ22_020612a.cha', 'RJ22_020612b.cha', 'RJ22_020612c.cha', 'SA73_020012c.cha', 'SC42_020909c.cha', 'SL49_020000b.cha', 'SL49_020000c.cha', 'SL59_020013a.cha', 'SL59_020013b.cha', 'SL59_020013c.cha', 'SM42_020215a.cha', 'TM19_020526a.cha', 'TM19_020526b.cha', 'TM19_020526c.cha', 'WA04_020716a.cha', 'WA04_020716b.cha', 'WA04_020716c.cha', 'WA50_020818a.cha', 'WA50_020818c.cha', 'WE17_020711a.cha', 'WE17_020711b.cha', 'WE17_020711c.cha', 'WG24_021112b.cha', 'WG24_021112c.cha', 'WM15_020618b.cha', 'WM15_020618c.cha']"
GMA,,Grandmother,FEM,"['CD15_020517c.cha', 'CW41_020701b.cha', 'CW41_020701c.cha', 'LH56_020706a.cha', 'LH56_020706b.cha', 'ML27_020619a.cha', 'RK22_020527c.cha']"
GPA,,Grandfather,MAL,['LH56_020706a.cha']
GRA,,Grandmother,FEM,"['CJ41_020621c.cha', 'HW14_020428a.cha', 'HW14_020428b.cha', 'RK22_020527a.cha', 'RK22_020527b.cha', 'SA73_020012c.cha']"
KID,,Child,OCH,['FM07_020715a.cha']
